transaction_id,timestamp,sku,transaction_type,quantity,variance_detected,operator_id,bin_id
641fac35-07de-4ecf-b521-b8fc8810ebf3,2025-11-19 23:18:24.062432,SKU-4582,CYCLE_COUNT,3,0,EMP-985,ZONE-A-18
9145819f-3656-4bdb-9d53-a88ae89604b1,2025-11-20 23:18:24.062432,SKU-4527,TRANSFER,9,0,EMP-902,ZONE-C-5
5143225e-d6b0-4c02-91de-34c778df8f71,2026-01-06 23:18:24.062432,SKU-1409,RECEIVE,7,0,EMP-633,ZONE-A-14
9659b44c-fdcd-4110-aea9-eac92cde0773,2025-12-02 23:18:24.062432,SKU-4733,TRANSFER,5,0,EMP-648,ZONE-B-5
8ca87549-bc55-4df4-916f-b72d0672d06c,2025-12-04 23:18:24.062432,SKU-6881,PICK,1,0,EMP-801,ZONE-C-17
6499e9a8-a409-42a1-8a60-e1bab57a1493,2025-09-30 23:18:24.062432,SKU-6881,TRANSFER,6,0,EMP-252,ZONE-C-17
1b139ef0-9fc9-4d21-b3b9-baa294a2aafb,2025-11-04 23:18:24.062432,SKU-2424,RECEIVE,5,0,EMP-484,ZONE-B-9
d655c2cf-0903-4890-9edf-6ee2e1e987ba,2025-12-04 23:18:24.062432,SKU-4657,PICK,9,0,EMP-720,ZONE-C-12
8c847bff-ff61-47de-832c-35e9013bbe70,2025-12-07 23:18:24.062432,SKU-2584,PICK,7,0,EMP-219,ZONE-A-4
9bdbc9d8-f4de-4734-a8b1-33f24280d88f,2025-12-21 23:18:24.062432,SKU-5803,TRANSFER,5,0,EMP-132,ZONE-C-5
ec64330a-2d1f-47d8-865c-09cca980ace1,2025-10-22 23:18:24.062432,SKU-8359,CYCLE_COUNT,5,0,EMP-480,ZONE-B-12
ac3bfc29-c040-48c3-9a90-5d9a6403ea68,2025-10-19 23:18:24.062432,SKU-3045,TRANSFER,8,0,EMP-637,ZONE-B-12
64e424a0-3396-4857-ad28-e46dda55b7c5,2025-10-06 23:18:24.062432,SKU-2139,PICK,5,0,EMP-483,ZONE-A-1
2cd251b8-f784-40a0-b8b2-b6061bf66a79,2025-10-03 23:18:24.062432,SKU-7224,PICK,1,0,EMP-554,ZONE-A-16
6f03f85c-a802-4712-a6e8-7a0d699bc27b,2026-01-02 23:18:24.062432,SKU-9279,RECEIVE,9,0,EMP-594,ZONE-B-14
065c7cc6-c85a-458f-ab0e-5ac2d2b94128,2025-10-16 23:18:24.062432,SKU-1106,PICK,9,0,EMP-448,ZONE-C-4
1776ac18-d4c5-455a-be27-a7ded3fa8b17,2025-12-30 23:18:24.062432,SKU-7924,TRANSFER,8,0,EMP-435,ZONE-B-19
3458dc99-57ec-4112-a341-61e280d9d1f7,2026-01-05 23:18:24.062432,SKU-2519,RECEIVE,3,0,EMP-628,ZONE-B-16
486b459b-9108-4155-8f8d-0729ab459054,2025-12-23 23:18:24.062432,SKU-1520,PICK,3,0,EMP-137,ZONE-A-11
331658c1-2d4c-4204-a1ce-a5b136d4c323,2025-11-27 23:18:24.062432,SKU-2679,CYCLE_COUNT,8,0,EMP-218,ZONE-B-7
020858c1-d3a0-441b-a44c-a61ff6975081,2025-09-27 23:18:24.062432,SKU-4257,TRANSFER,1,0,EMP-803,ZONE-A-1
d8e2c806-865d-44d2-972f-5f57e4dbb1be,2025-11-03 23:18:24.062432,SKU-8359,RECEIVE,10,0,EMP-578,ZONE-B-12
2f4de72e-1e5b-49f5-a5d0-c04800fffdcb,2025-11-27 23:18:24.062432,SKU-5557,RECEIVE,1,0,EMP-884,ZONE-C-11
cc87d772-d29b-4072-826f-155e5734901d,2025-12-04 23:18:24.062432,SKU-2535,RECEIVE,5,0,EMP-876,ZONE-C-18
fc56677f-a952-4df7-902b-95b50fe97d9a,2025-11-02 23:18:24.062432,SKU-1711,PICK,5,0,EMP-305,ZONE-C-9
282a34b3-6a8f-40f4-96a7-b8ad93e05199,2025-10-27 23:18:24.062432,SKU-4611,TRANSFER,4,0,EMP-645,ZONE-C-15
f758dae0-1b1c-4e11-8f25-c63d605fffa7,2025-10-26 23:18:24.062432,SKU-1711,CYCLE_COUNT,6,0,EMP-252,ZONE-C-9
cfb10b60-a8e2-4827-b980-93e64bd1965b,2025-10-06 23:18:24.062432,SKU-7873,TRANSFER,3,0,EMP-115,ZONE-C-19
a6f31540-e3d5-49d5-9364-7805ec9e1a72,2025-10-18 23:18:24.062432,SKU-2535,RECEIVE,10,0,EMP-655,ZONE-C-18
